name,logo,intro,link,publisher,publisherName,order
"STX Next: CTO Report Says Half of Businesses Now Using ML","https://www.stxnext.com/hubfs/technology-magazine-dark-logo.png","Machine learning’s popularity looks set to continue with 66% of CTOs predicting it will become much more prominent in the next two to four years","https://technologymagazine.com/articles/stx-next-cto-report-says-half-of-businesses-now-using-ml","technology-magazine-dark","Technology Magazine Dark","66"
"AI unleashed: Navigating the future of business in the age of ChatGPT","https://www.stxnext.com/hubfs/Business-Leader-logo.jpg","<span>AI has the ability to reshape industries. The rapid advances in AI in 2023 with ChatGPT and other large language models have highlighted exciting possibilities but also huge risks as businesses continue to push the boundaries of AI capabilities.</span>","https://www.businessleader.co.uk/ai-unleashed-future-business/","business-leader","Business Leader","65"
"STX Next partners with Squirro to strengthen AI capabilities","https://www.stxnext.com/hubfs/enterprise-talk-logo.png","<strong><a href=""../../../com/stxnext/www/index.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">STX Next</a></strong><span>, a prominent IT services and consulting company, has announced a new partnership with&nbsp;</span><strong><a href=""https://squirro.com/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Squirro</a></strong><span>, the generative AI-powered enterprise search and insights cloud provider.</span>","https://enterprisetalk.com/news/stx-next-partners-with-squirro-to-strengthen-ai-capabilities/","enterprise-talk","Enterprise Talk","64"
"How fintech companies and other firms succeed using AI","https://www.stxnext.com/hubfs/TechHQ-logo.jpeg","<span>Fintech firms succeed in using AI by deploying algorithms to deliver products and services in ways that only machines can achieve.</span>","https://techhq.com/2023/10/how-fintech-companies-and-other-firms-succeed-using-ai/","techhq","TechHQ","63"
"A lifetime of software and seeing the bigger picture","https://www.stxnext.com/hubfs/silicon%20republic%20logo.png","<span>Ronald Binkofski discusses his software career with Microsoft, his plans for STX Next and the importance of taking a calm and balanced approach to work.</span>","https://www.siliconrepublic.com/enterprise/ronald-binkofski-stx-next-software-leadership","silicon-republic","Silicon Republic","62"
"AI and ML are playing defining role in driving fintech automation, says STX Next","https://www.stxnext.com/hubfs/0063292b-918a-42eb-856f-a2b5bc30d646.png","AI and ML algorithms that can process large quantities of data are delivering increased efficiency, scalability and accuracy for fintechs pioneering the technology.","https://financialit.net/news/artificial-intelligence/ai-and-ml-are-playing-defining-role-driving-fintech-automation-says-stx","63-9-b-918a-4-eb-856f-a-b5bc3-d646","63 9 B 918a 4 Eb 856f A B5bc3 D646","61"
"AI training courses are popular, but devs aren't sure they need them","https://www.stxnext.com/hubfs/TechRadar_logo.svg.png","<span>Research from&nbsp;</span><a href=""../../../com/stxnext/www/index.html"" target=""_blank"" data-url=""https://www.stxnext.com/"" data-component-tracked=""1"" rel=""noopener"">STX Next</a><span>&nbsp;found 29% of developers have completed courses in AI and Machine Learning (ML), making it the third most popular training topic behind web development and software development.</span>","https://www.techradar.com/news/ai-training-courses-are-popular-but-devs-arent-sure-they-need-them","techradar","TechRadar","60"
"Announcing the shortlist for the Digital Technology Leaders Awards 2023","https://www.stxnext.com/hubfs/Computing_magazine_logo.svg.png","<span>Computing is delighted to announce our 2023 Digital Technology Leaders Awards shortlist.</span>","https://www.computing.co.uk/news/4115204/announcing-shortlist-digital-technology-leaders-awards-2023","computing-magazine","Computing Magazine","59"
"Channel roundup: Who’s gone where?","https://www.stxnext.com/hubfs/computer%20weekly%20logo.jpg","<strong>STX Next:</strong><span>&nbsp;The Polish IT services player has decided Matthew Ziff is the right candidate to become its UK managing director.&nbsp;</span>","https://www.computerweekly.com/microscope/news/366536296/Channel-roundup-Whos-gone-where","computer-weekly","Computer Weekly","58"
"ChatGPT vs alternatives for programmers","https://www.stxnext.com/hubfs/Information-Age-logo.png","ChatGPT and its alternatives are set to be especially useful for programmers writing code. But just how reliable is the technology for developers?","https://www.information-age.com/chatgpt-vs-alternatives-for-programmers-123502468/","information-age","Information Age","57"
"Soft skills make all the difference: a third of programmers say problem-solving skills are their most important asset","https://www.stxnext.com/hubfs/startups-magazinelogo.png","Research from STX Next has found that 32% of programmers say an ability to think logically, critically and analytically is the key to becoming a great Python developer.&nbsp;","https://startupsmagazine.co.uk/article-soft-skills-make-all-difference-third-programmers-say-problem-solving-skills-are-their-most","startups-magazine","Startups Magazine","56"
"The Future of Insurtech; With Koffie, STX Next, Roots Automation, mea, LifeSearch and Home365","https://www.stxnext.com/hubfs/the-fintech-times.png","For 50-odd years, the way insurance has worked has remained the same. But in the last few years, catalysed by the pandemic, the rise of digital solutions and insurtech looks to break down historical insurance preconceptions have emerged.","https://thefintechtimes.com/the-future-of-insurtech-with-koffie-financial-stx-next-roots-automation-mea-lifesearch-home365/","the-fintech-times","The Fintech Times","55"
"Były dyrektor Microsoftu na czele polskiego software house’u","https://www.stxnext.com/hubfs/puls-biznesu-logo.png","Ronald Binkofski zastąpił Macieja Dziergwę na stanowisku prezesa STX Next.","https://www.pb.pl/byly-dyrektor-microsoftu-na-czele-polskiego-software-houseu-1174314","puls-biznesu","Puls Biznesu","54"
"CTO salary – how much can you earn where?","https://www.stxnext.com/hubfs/Information-Age-logo.png","<span>If you want job satisfaction, be a CTO. That was one conclusion drawn from&nbsp;</span>research<span>&nbsp;conducted by Python development specialist STX Next in early 2022.&nbsp;</span>","https://www.information-age.com/cto-salary-how-much-can-you-earn-where-123501293/","information-age","Information Age","53"
"Debugging the monolith: How to change the thinking of an entire tech company","https://www.stxnext.com/hubfs/Imported%20sitepage%20images/betanews%20logo.jpg","I<span>n recent history the tech industry has been impervious to market forces that have crippled adjacent sectors, predominantly because of the public’s insatiable demand for digitization.</span>","https://betanews.com/2023/01/29/debugging-the-monolith/","betanews","Betanews","52"
"Eksporterzy skutecznie mierzą się z wyzwaniami","https://www.stxnext.com/hubfs/puls-biznesu-logo.png","Przedsiębiorcy znad Wisły odważnie wchodzą na globalny rynek i oferują niesztampowe produkty oraz usługi. Polskie firmy aktywnie działają na arenie międzynarodowej. Podejmują trud ekspansji zagranicznej w niełatwym otoczeniu gospodarczym. Poznaj zwycięzców jedenastej edycji konkursu Polska Firma – Międzynarodowy Czempion.","https://www.pb.pl/eksporterzy-skutecznie-mierza-sie-z-wyzwaniami-1171966","puls-biznesu","Puls Biznesu","51"
"Top 10 most reviewed medical software development companies","https://www.stxnext.com/hubfs/London%20Loves%20Business.png","<span>Leading healthcare facilities try to keep up with technological change and advances in medical software development. Innovative products constantly hit the market, state-of-the-art devices help doctors perform the most complex operations, and mobile apps allow patients to receive high-quality care even remotely.</span>","https://londonlovesbusiness.com/top-10-most-reviewed-medical-software-development-companies/","london-loves-business","London Loves Business","50"
"Was Developer an ihrem Job lieben – und hassen","https://www.stxnext.com/hubfs/Computerwoche-Logo.png","<span>Kein Job ist perfekt, auch nicht der des Developers. Wir haben Softwareentwickler gefragt, was sie an ihrem Job schätzen – und was eher weniger.</span>","https://www.computerwoche.de/a/was-developer-an-ihrem-job-lieben-und-hassen,3613410","computerwoche","Computerwoche","49"
"Three is the Magic Number: Planning and Executing a Successful DevOps Project","https://www.stxnext.com/hubfs/DEVOPS.COM%20-%20LOGO%20-%20NEW.png","<span>Diligent preparation, clearly defined workflows and watchful monitoring are key to delivering a high-performing DevOps project. DevOps is one of the hottest buzzwords in programming, but everyone seems to have their own ideas when it comes to structuring and deploying a DevOps team.</span>","https://devops.com/three-is-the-magic-number-planning-and-executing-a-successful-devops-project/","devops.com--new","DEVOPS.COM  NEW","48"
"Technology leaders are facing unique challenges – only a unique approach to leadership will help","https://www.stxnext.com/hubfs/Business-Leader-logo.jpg","As spiralling inflation, interest rate hikes and the threat of recession drive up the cost of doing business, tech leaders must be agile, look to new methods of management and be open to rescheduling pre-existing plans. This is according to STX Next, Europe’s largest software development company that specialises in Python.","https://www.businessleader.co.uk/technology-leaders-are-facing-unique-challenges/","business-leader","Business Leader","47"
"Reducing burnout & boosting retention in technical teams through peer leadership","https://www.stxnext.com/hubfs/startups-magazinelogo.png","<span>A clearly defined hierarchical structure has been a long-standing and unchallenged part of business models for as long as anyone can remember, but perhaps it’s time to freshen up the make-up of technical teams.</span>","https://startupsmagazine.co.uk/index.php/article-reducing-burnout-boosting-retention-technical-teams-peer-leadership","startups-magazine","Startups Magazine","46"
"The Benefits of Outsourcing in Fintech","https://www.stxnext.com/hubfs/the-fintech-times.png","<span>Having previously discussed the benefits of outsourcing to fintech, here&nbsp;</span><strong>Maciej</strong><span>&nbsp;</span><strong>Dziergwa</strong><span>, founder and CEO of&nbsp;</span><strong>STX</strong><span>&nbsp;</span><strong>Next</strong><span>, gives us a fresh perspective on the benefits that could be enjoyed by fintechs that decide to outsource areas of their own operations.</span>","https://thefintechtimes.com/the-benefits-of-outsourcing-in-fintech-with-originclear-bond-galileo-and-more/","the-fintech-times","The Fintech Times","45"
"Machine Learning is the Future, But Is Not Without Its Challenges, Says STX Next","https://www.stxnext.com/hubfs/corporate-vision-logo.jpg","<span>The popularity of artificial intelligence (AI) and machine learning (ML) has skyrocketed in recent years. In fact,&nbsp;</span><a href=""../../../com/stxnext/www/cto-survey-2021-report.html"">STX Next’s 2021 CTO report</a><span> found that around two-thirds of businesses have now implemented ML in some form.</span>","https://www.corporatevision-news.com/machine-learning-is-the-future-but-is-not-without-its-challenges-says-stx-next/","corporate-vision","Corporate Vision","44"
"Executive Q&A: Maciej Dziergwa, CEO and founder, STX Next","https://www.stxnext.com/hubfs/ai-magazine-dark-logo.png","<span>Maciej Dziergwa spoke to AI Magazine about his goal to build the greatest Python software house in the world and STX Next’s recent acquisition of Ermlab</span>","https://aimagazine.com/articles/executive-q-a-maciej-dziergwa-ceo-and-founder-stx-next","ai-magazine-dark","Ai Magazine Dark","43"
"Biggest Daily Challenges Business Owners Are Facing","https://www.stxnext.com/hubfs/Hurricane-Valley-Times-logo%20(1).png","Every day is different for entrepreneurs, but there are some constants that make up a typical day. In this interview, we’d like to ask entrepreneurs some questions to get a better understanding of what a day in the life of a business leader looks like.","https://hvtimes.com/interview-biggest-daily-challenges-business-owners-are-facing/","hurricane-valley-times--(1)","Hurricane Valley Times  (1)","42"
"Automated testing still lags","https://www.stxnext.com/hubfs/LOGO_SDTimes.webp","<span>Automated testing initiatives still lag behind in many organizations as increasingly complex testing environments are met with a lack of skilled personnel to set up tests.&nbsp;</span>","https://sdtimes.com/test/automated-testing-still-lags/","sdtimes","SDTimes","41"
"How Have Charities Benefited From Fintechs","https://www.stxnext.com/hubfs/the-fintech-times.png","<span>STX Next, a company that provides software services to fintech clients, says it has a great experience dealing with a number of challenges lending services providers face.</span>","https://thefintechtimes.com/how-have-charities-benefited-from-fintechs-with-bond-currensea-paynetics-and-more/","the-fintech-times","The Fintech Times","40"
"When It's Critical To Hire A CTO For Your Startup","https://www.stxnext.com/hubfs/forbes.png","According to STXNext's Global CTO Survey 2020 Report, 51% of survey respondents joined startups as CTOs. Even though a CTO wears many hats (being a technical and operational lead), the position's responsibilities can vary depending on the type, needs and structure of a startup.","https://www.forbes.com/sites/forbestechcouncil/2022/08/02/when-its-critical-to-hire-a-cto-for-your-startup/?sh=7f2634c10177","forbes","Forbes","39"
"Meet Maciej Dziergwa, CEO at Python Development Company: STX Next","https://www.stxnext.com/hubfs/techround-logo-alt.png","<span>STX Next is the largest software house in Europe specialising in designing and creating digital solutions in the Python programming language. The company has been operating since 2005 and is made up of a team of over 500 people across eight offices in Poland and a new delivery centre that launched in June 2022 in Merida, Mexico.</span>","https://techround.co.uk/interviews/meet-maciej-dziergwa-ceo-stx-next/","techround--alt","Techround  Alt","38"
"Establishing a strong DevOps pipeline","https://www.stxnext.com/hubfs/Information-Age-logo.png","Having a strong DevOps pipeline is increasingly important for business creating software inhouse. What can CTOs do to ensure a steady flow?","https://www.information-age.com/establishing-a-strong-devops-pipeline-123499842/","information-age","Information Age","37"
"Uczą się go nawet dzieci w podstawówkach. Polak stworzył światowego lidera programowania w Pythonie","https://www.stxnext.com/hubfs/forbes.png","W niewiele ponad dekadę Python jako język programowania zdominował rynek. Dziś uczą się go nawet dzieci w szkołach podstawowych. A największą firmą na świecie oferującą usługi programowania w tym języku jest STX Next z Poznania","https://www.forbes.pl/biznes/ucza-sie-go-nawet-dzieci-w-podstawowkach-polak-stworzyl-swiatowego-lidera/ksgem60","forbes","Forbes","36"
"Making the Move From Developer to Team Lead","https://www.stxnext.com/hubfs/DevOps%20logo%202.png","<span>After working in their role for some time, software developers may wonder what&nbsp;</span>career opportunities<span>&nbsp;await them beyond coding. Certainly, taking the next step is not obligatory. Some people feel comfortable remaining developers for their entire professional careers.</span>","https://devops.com/making-the-move-from-developer-to-team-lead/","devops","DevOps","35"
"STX Next opens delivery centre in Mexico to drive global expansion plans","https://www.stxnext.com/hubfs/Connect%20World%20logo.png","STX Next<span>,&nbsp;Europe’s largest Python software development company, has opened a new delivery centre in Latin America. The facility is located in Merida, Mexico and is STX Next’s ninth global location and first outside Europe.</span>","https://connect-world.com/stx-next-opens-delivery-centre-in-mexico-to-drive-global-expansion-plans/","connect-world","Connect World","34"
"Addressing the tech skills gaps starts at school: How improving accessibility to coding will make a big difference","https://www.stxnext.com/hubfs/Imported%20sitepage%20images/betanews%20logo.jpg","<span>Supporting data skills and coding throughout education should be a key part of the school curriculum for young people in order to address the skills gap in the long term.</span>","https://betanews.com/2022/06/11/addressing-the-tech-skills-gaps-starts-at-school-how-improving-accessibility-to-coding-will-make-a-big-difference/","betanews","Betanews","33"
"STX Next acquires Ermlab to enhance AI and machine learning capabilities","https://www.stxnext.com/hubfs/PCR%20Logo.png","STX Next<span>&nbsp;has acquired Ermlab, a specialist in AI and machine learning software development. The deal will enhance STX Next’s existing AI and ML capabilities, expand the company’s expertise in natural language processing (NLP) and further strengthen its status as a software development powerhouse.</span>","https://www.pcr-online.biz/2022/05/25/stx-next-acquires-ermlab-to-enhance-ai-and-machine-learning-capabilities/","pcr","PCR","32"
"True Gender Diversity In Tech? Be Flexible Or Fail","https://www.stxnext.com/hubfs/HR%20Director%20logo.png","<span>While women make up 39% of global employment, they account for 54% of overall job losses. This could severely hamper efforts to achieve gender diversity, particularly in the technology industry where women remain heavily under-represented. This is according to Marta Blazejewska, Director of Sales at STX Next.</span>","https://www.thehrdirector.com/business-news/diversity-and-equality-inclusion/true-gender-diversity-tech-flexible-fail/","hr-director","HR Director","31"
"From Software Developer to Team Leader","https://www.stxnext.com/hubfs/Embedded-Computing-Design%20logo.png","<span>Robert Musił (JavaScript Team Lead), Paulina Gatkowska (Test Automation Lead) and Rafał Gatkowski (Python Team Lead) answer the common questions software developers ask about becoming a team lead.</span>","https://embeddedcomputing.com/technology/software-and-os/from-software-developer-to-team-leader","embedded-computing-design","Embedded Computing Design","30"
"Game Developers Shouldn’t Overlook Python’s Potential","https://www.stxnext.com/hubfs/DevOps%20logo%202.png","<span>Python is an object-oriented, general-purpose and high-level programming language developed in 1991 by Guido van Rossum. Since its development, Python has become one of the most popular programming languages in the world.</span>","https://devops.com/game-developers-shouldnt-overlook-pythons-potential/","devops","DevOps","29"
"We Need To Address The Lack of Cyber Skills In The Tech World, Here’s Why","https://www.stxnext.com/hubfs/techround-logo-alt.png","<span>As such, there is now a vastly increased demand for professionals with technical capabilities in areas such as cybersecurity and coding. At present, this demand isn’t being met: in STX Next’s annual survey of 500 CTOs across Europe, 41% of tech leaders reported hiring as their biggest challenge.</span>","https://techround.co.uk/tech/we-need-to-address-the-lack-of-cyber-skills-in-the-tech-world-heres-why/","techround--alt","Techround  Alt","28"
"89% of CTOs plan to embrace outsourcing in the future","https://www.stxnext.com/hubfs/Intellogent%20CIO_logo.jpg","Research from STX Next has found that almost nine in 10 CTOs (89%) plan to outsource software development or IT expertise in the future. This is despite the fact that 59% are not currently outsourcing, indicating that it is set for a resurgence.&nbsp;The findings were taken from STX Next’s<span>&nbsp;</span><em>2021 Global CTO Survey</em>, which polled over 500 CTOs.&nbsp;&nbsp;","","intellogent-cio","Intellogent CIO","27"
"Machine learning implemented by 68 percent of organizations","https://www.stxnext.com/hubfs/Imported%20sitepage%20images/betanews%20logo.jpg","New research shows that 68 percent of chief technical officers (CTOs) have implemented machine learning at their company. What's more the study, from software development company STX Next, reveals that 55 percent of businesses now employ at least one team member dedicated to AI/ML solutions, although only 15 percent have their own separate AI division.","https://betanews.com/2022/01/05/machine-learning-implemented-68-percent/","betanews","Betanews","26"
"Grow Your Own: Should Innovation Economy Companies Do More On Training?","https://www.stxnext.com/hubfs/Python%20Development%20Company%20-%20STX%20Next%20Lp%20Page%202022/Images/-g-%20forbes.png","It seems to be the same just about everywhere. According to research published last week by software development company STX Next, hiring tech talent is far from easy. Drawing on responses from 500 Chief Technology Officers around the world, the report found that 41% were having trouble recruiting the right people.","https://www.forbes.com/sites/trevorclawson/2022/01/31/grow-your-ownshould-innovation-economy-companies-do-more-on-training/?sh=230d84c633b4","g-forbes","G Forbes","25"
"The Cybersecurity Measures CTOs Are Actually Implementing","https://www.stxnext.com/hubfs/Dark%20Reading%20logo.png","<span>Companies look to multifactor authentication and identity and access management to block attacks, but hedge their bets with disaster recovery. CTOs are taking a multipronged approach to protecting their company. A little over 87% of respondents to STX Next's 2021 Global CTO Survey.&nbsp;</span>","https://www.darkreading.com/tech-trends/the-cybersecurity-measures-ctos-are-actually-implementing","dark-reading","Dark Reading","24"
"The majority of companies have now deployed machine learning in some form","https://www.stxnext.com/hubfs/itproportal.png","The majority of companies have now deployed machine learning (ML), making it the most popular subset of artificial intelligence (AI), a new report suggests. European software company STX Next recently polled 500 CTOs from across the globe and found that two-thirds (68 percent) have already implemented ML in some form.&nbsp;","https://www.itproportal.com/news/the-majority-of-companies-have-now-deployed-machine-learning-in-some-form/","itproportal","Itproportal","23"
"Exploring the use of the Python programming language for data engineering","https://www.stxnext.com/hubfs/Imported%20sitepage%20images/betanews%20logo.jpg","<span>Python is one of the most popular programming languages worldwide. It often ranks high in surveys - for instance, it claimed the first spot in the Popularity of Programming Language index and came second in the TIOBE index.</span>","https://betanews.com/2021/12/24/python-programming-for-data-engineering/","betanews","Betanews","22"
"Most challenging security threats for CTOs","https://www.stxnext.com/hubfs/Imported%20sitepage%20images/news_logo_helpnetsecurity.svg","STX Next’s survey of 500 CTOs globally shows that most CTOs still see human error as the main security threat to their business, followed by ransomware and phishing. Yet, only 26 percent say they have a dedicated cybersecurity team in place.","https://www.helpnetsecurity.com/2021/11/30/ctos-security-threat/","news--helpnetsecurity","News  Helpnetsecurity","21"
"Phishing, ransomware and human error are seen as biggest security threats","https://www.stxnext.com/hubfs/Imported%20sitepage%20images/betanews%20logo.jpg","Research from STX next reveals that 59% of CTOs still see human error as the main security threat to their business, alongside other concerns such as ransomware (49%) and phishing (36%).","https://betanews.com/2021/11/24/phishing-ransomware-human-error-biggest-security-threats/","betanews","Betanews","20"
"4 IT leadership tips for turbulent times","https://www.stxnext.com/hubfs/the-enterprisers-project.png","Szymon Piasecki, Head of DevOps at STX Next, believes that while technical expertise in IT roles has always been a given, what will ensure success in the changed world is the ability to motivate staff and look after their emotional wellbeing.","https://enterprisersproject.com/article/2021/10/it-leadership-4-tips-turbulent-times","the-enterprisers-project","The Enterprisers Project","19"
"Why cyber security and regulatory compliance are one and the same","https://www.stxnext.com/hubfs/continuity-central.png","Compliance is often prioritized over cybersecurity as it’s seen as more urgent. However, this approach can lead to problems in the long run, and businesses should consider cybersecurity and compliance as being two sides of the same coin.","https://www.continuitycentral.com/index.php/news/erm-news/6759-why-cyber-security-and-regulatory-compliance-are-one-and-the-same","continuity-central","Continuity Central","18"
"Making Single-Molecule Disease Analysis Easier","https://www.stxnext.com/hubfs/healthcare-business-today.png","STX Next recently completed a project to design, develop and deliver the Harbor product for life sciences company LUMICKS.","https://www.healthcarebusinesstoday.com/making-single-molecule-disease-analysis-easier/","healthcare-business-today","Healthcare Business Today","17"
"Polyglot programming and the benefits of mastering several languages","https://www.stxnext.com/hubfs/analytics-insight-1.jpg","Why do some programmers choose to learn multiple languages? The ability has been associated with plenty of benefits, from more varied skills to better career prospects and higher salaries.","https://www.analyticsinsight.net/polyglot-programming-and-the-benefits-of-mastering-several-languages/","analytics-insight-1","Analytics Insight 1","16"
"“Cybersecurity is the New Seat Belt” says STX Next","https://www.stxnext.com/hubfs/the-fintech-times.png","STX Next—in partnership with Aleksander Czarnowski of cyber expert AVETINS—believes that cybersecurity is coming to be viewed in the same manner as the seat belt: after years of neglect, its importance is now much more widely recognised.","https://thefintechtimes.com/cybersecurity-is-the-new-seat-belt-says-stx-next/","the-fintech-times","The Fintech Times","15"
"How SMEs in e-commerce can drive value from machine learning","https://www.stxnext.com/hubfs/information-age.png","Although many smaller businesses might see machine learning as financially prohibitive, implementing the technology to boost sales need not be as complex as it might seem.","https://www.information-age.com/how-smes-e-commerce-can-drive-value-from-machine-learning-123496232/","information-age","Information Age","14"
"Case study: How cat food subscriptions service grew from scratch in three months","https://www.stxnext.com/hubfs/internet-retailing-1.jpg","STX Next worked with pet food subscription provider<a href=""https://tails.com/gb/""><span> tails.com</span></a> to build a customer-facing application and a suite of products for the <a href=""https://www.republicofcats.com/""><span>Republic of Cats</span></a> in just three months.","https://internetretailing.net/g2k/case-study-how-cat-food-subscriptions-service-grew-from-scratch-in-three-months","internet-retailing-1","Internet Retailing 1","13"
"Why does your company need processes?","https://www.stxnext.com/hubfs/itproportal.png","Processes often have a bad reputation, but they’re essential in any organization. Instead of stifling initiative, they enable your team to be more creative and add more value in its daily work.","https://www.itproportal.com/features/why-does-your-company-need-processes/","itproportal","Itproportal","12"
"Tackling technical debt in post-covid software development","https://www.stxnext.com/hubfs/eenews-europe.png","Pressure on software developers to reduce time to market on products and services has intensified during the pandemic, inevitably leading to an accumulation of technical debt. Now is the time to tackle it.&nbsp;","https://www.eenewseurope.com/news/tackling-technical-debt-post-covid-software-development","eenews-europe","Eenews Europe","11"
"Software firms have a duty to pass on technical skills","https://www.stxnext.com/hubfs/itproportal.png","IT education shouldn’t be limited to academic institutions. Tech companies can use training schemes to try to pass on knowledge, and gain valuable new talent in the process.","https://www.itproportal.com/news/software-firms-have-a-duty-to-pass-on-technical-skills/","itproportal","Itproportal","10"
"Deconstructing Cybercrime: Top 10 Attack Methods Attackers Use","https://www.stxnext.com/hubfs/Python%20Development%20Company%20-%20STX%20Next%20Lp%20Page%202022/Images/-g-%20forbes.png","STX Next’s CTO Survey found that more than half of all global organizations do not have a bring-your-own-device policy, which can pose serious security risks.","https://www.forbes.com/sites/forbestechcouncil/2021/02/04/deconstructing-cybercrime-top-10-attack-methods-attackers-use/?utm_sq=gncijiue3c&sh=35ef4b2862e1","g-forbes","G Forbes","9"
"Many CTOs aren't using project management frameworks","https://www.stxnext.com/hubfs/itproportal.png","Over a quarter of CTOs are not using project management framework, which is not necessarily a bad thing, according to STX Next’s CTO Survey.&nbsp;","https://www.itproportal.com/news/many-ctos-arent-using-project-management-frameworks/","itproportal","Itproportal","8"
"Cloud technology is now a common sight in many businesses","https://www.stxnext.com/hubfs/itproportal.png","Most businesses use some form of cloud, according to STX Next's <a href=""../../../com/stxnext/www/resources/cto-survey-2020.html"" rel=""noopener"" target=""_blank"">CTO Survey</a>. Many organizations opt for public cloud solutions, and only a minority of them use the private cloud or on-site environments.","https://www.itproportal.com/news/cloud-technology-is-now-a-common-sight-in-many-businesses/","itproportal","Itproportal","7"
"Your occasional storage digest, featuring Brexit, Tsinghua Unigroup and more","https://www.stxnext.com/hubfs/BF-black-300x92.png","Szymon Piasecki, Head of <a href=""/services/devops/"" rel=""noopener"" target=""_blank"">DevOps</a> at STX Next, commented on how the company prepared its clients to avoid any potential post-Brexit disruption to c<span>loud storage services.</span>","https://blocksandfiles.com/2020/12/18/data-storage-digest-tsinghua-unigroup/","bf-black-3-x9","BF Black 3 X9","6"
"CTOs see scaling up tech capabilities as top priority","https://www.stxnext.com/hubfs/1Digitalisation-World-Logo.jpg","According to STX Next research, most CTOs consider the need to scale up their technological capabilities a top priority. However, they face a wide range of challenges and without the right amount of investment their ability to keep up with competitors will be compromised.","https://digitalisationworld.com/news/60401/ctos-see-scaling-up-tech-capabilities-as-top-priority","1digitalisation-world","1Digitalisation World","5"
"Over Half of Organizations Still Operating Without a BYOD Policy","https://www.stxnext.com/hubfs/infosecurity-magazine.jpg","As many employees work from home, most businesses do not have sufficient visibility of the devices they use—as illuminated by STX Next's <a href=""../../../com/stxnext/www/resources/cto-survey-2020.html"" rel=""noopener"" target=""_blank"">Global CTO Survey</a>. This creates a security risk that needs to be urgently addressed to avoid breaches.&nbsp;","https://www.infosecurity-magazine.com/news/over-half-without-a-byod-policy/","infosecurity-magazine","Infosecurity Magazine","4"
"STX Next considers entering the Polish Stock Exchange to gain funds for acquisitions","https://www.stxnext.com/hubfs/money-pl.png","STX Next rozważa ewentualne pozyskanie kapitału na sfinalizowanie planowanych przejęć m.in. poprzez krajową giełdę, poinformował prezes Maciej Dziergwa. Podkreślił, że nie podjęto jeszcze ostatecznych decyzji w kwestii ewentualnego upublicznienia spółki.","https://www.money.pl/gielda/stx-next-rozwaza-wejscie-na-gpw-aby-pozyskac-srodki-na-akwizycje-6487774756247681a.html","money-pl","Money Pl","3"
"Innova Capital to support STX Next in its mission to digitalise the economy","https://www.stxnext.com/hubfs/privateequitywire.svg","STX Next, a European software house specialising in <a href=""/services/python-development/"" rel=""noopener"" target=""_blank"">Python software development</a>, which supports international clients in their digital transformation, has acquired a new investor—a private equity fund advised by Innova Capital. <br><br><br>","https://www.privateequitywire.co.uk/2020/10/21/291173/innova-capital-support-stx-next-its-mission-digitalise-economy","privateequitywire","Privateequitywire","2"
